TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,predicted_seed_score,rank,predicted_seed_with_update,predicted_postseason_label,predicted_postseason_description
Rutgers   (A) 33 Ohio St. (lost),B10,9,113.748,100.279,0.811256,50.8168,50.4173,14.642,18.4134,30.4167,32.6278,39.76,31.3129,52.1156,50.3168,32.2209,33.62,70.172,-1.1115,11.145837448333133,55.0,14.0,5,Round of 32
LSU,SEC,8,110.293,98.554,0.784269,52.312,42.07,18.8241,18.2148,36.728,35.5335,38.574,29.81,55.573,43.826,31.9226,25.78,68.5148,1.03,11.158159476925471,56.0,14.0,6,Round of 64
UCF,B12,8,109.2102,99.974,0.737083,48.7225,49.2133,16.3101,18.6126,33.691,31.3236,40.451,27.468,48.6237,48.8126,32.619,33.2183,70.459,-0.0568,11.180204872120921,57.0,14.0,5,Round of 32
Virginia   (A) 50 SMU (lost),ACC,9,106.3153,97.639,0.728189,52.1124,48.1101,20.2306,16.0257,23.2336,28.6133,26.0322,22.614,47.3273,46.768,39.124,33.2183,61.1364,-0.4884,11.210549582906058,58.0,14.0,5,Round of 32
BYU,B12,8,116.823,99.669,0.861138,55.155,50.6184,15.052,19.595,38.816,18.61,29.4275,33.1169,57.932,46.056,34.7115,37.9332,69.0126,-0.3477,11.359192205294526,60.0,15.0,5,Round of 32
VCU,A10,9,111.769,95.216,0.861937,53.393,41.63,19.1254,22.917,31.3149,30.4201,39.563,39.7299,57.539,39.73,32.9177,30.588,68.0173,-0.585,11.2551021796933,59.0,15.0,6,Round of 64
Bradley,MVC,9,113.253,101.8105,0.773172,61.21,46.66,18.6227,16.4237,28.2226,28.7138,33.7171,32.816,55.477,49.3142,46.41,27.927,66.2277,0.545,11.429813029655927,62.0,15.0,5,Round of 32
Liberty   (H) 364 Mississippi Valley St.,CUSA,9,108.7107,99.158,0.744579,58.812,47.789,19.1254,17.8166,24.8306,25.133,32.2207,27.978,59.122,50.016,38.926,28.539,63.7355,0.934,11.384163618879054,61.0,15.0,3,Elite Eight
Wake Forest   (H) 151 Boston College (won),ACC,11,104.7185,96.632,0.716192,47.2272,45.544,17.9186,22.228,28.023,31.6246,35.1129,27.468,53.0134,44.533,26.4347,31.1108,66.7246,0.1059,11.584158490265471,65.0,16.0,5,Round of 32
Villanova   vs. 137 Temple (won),BE,10,117.618,102.211,0.834545,57.421,50.016,17.617,17.5184,38.517,29.0155,26.3319,32.1147,53.213,48.411,41.57,34.8243,64.434,-1.6143,11.591821721108346,66.0,16.0,6,Round of 64
Connecticut,BE,9,118.416,99.566,0.880926,59.01,46.153,14.844,19.31,35.839,25.438,34.1159,44.7339,63.72,42.114,36.083,36.2295,65.3304,-1.0111,11.633632017466258,67.0,16.0,6,Round of 64
San Francisco,WCC,9,111.172,97.036,0.826346,56.727,45.34,19.1254,22.033,32.2124,28.3125,35.7114,24.324,58.724,45.343,35.889,30.378,67.2223,-0.1673,11.524410387742794,64.0,16.0,6,Round of 64
North Texas,Amer,9,106.1164,94.711,0.788067,47.128,49.7154,17.5165,24.93,30.7161,26.874,35.1129,49.4354,42.9345,52.7227,35.691,30.9101,64.4339,-0.688,11.469329781162958,63.0,16.0,6,Round of 64
Nevada   (A) 168 Loyola Marymount (lost),MWC,9,112.757,98.655,0.823247,55.45,46.457,16.6116,17.916,31.3149,29.4163,43.925,38.4275,52.8141,45.447,40.512,31.8127,63.9351,0.2654,11.679936262009104,68.0,16.0,6,Round of 64
