TEAM,CONF,G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,SEED
UC Riverside,BW,31,12,99.6,104.6,0.3652,48.9,49.1,19.7,17.2,28.4,28.1,36.8,38.3,47.0,47.6,34.5,34.8,68.0,-13.2,,
UC Santa Barbara,BW,32,18,106.3,97.9,0.7195,50.3,46.7,18.5,17.5,28.8,27.9,27.4,41.8,48.4,47.8,35.8,30.0,67.6,-4.8,,
UCF,Amer,30,12,99.9,102.1,0.4376,49.2,47.1,21.3,13.4,31.3,30.5,37.2,25.1,50.1,46.4,31.8,32.3,68.6,-10.1,,
UCLA,P12,32,15,111.6,99.7,0.7843,50.3,49.7,16.9,16.1,32.8,30.4,32.3,33.9,48.8,47.6,36.3,35.4,70.4,-3.9,,
UMass Lowell,AE,28,10,99.4,115.0,0.1581,53.6,54.5,21.3,19.2,25.1,32.9,33.2,38.4,53.2,53.9,36.2,37.1,73.7,-13.2,,
UMBC,AE,32,7,98.6,117.3,0.1193,50.1,56.6,17.4,19.4,24.9,28.9,42.2,38.8,50.4,56.4,33.1,38.0,70.1,-20.5,,
UMKC,WAC,28,9,101.9,110.6,0.2797,48.8,50.3,19.4,17.2,32.7,31.2,35.3,44.1,45.5,48.9,36.8,35.1,67.1,-12.9,,
UNC Asheville,BSth,32,20,101.2,99.4,0.5487,49.6,49.3,18.6,22.2,31.6,29.3,41.8,33.0,50.2,52.1,32.1,29.6,71.0,-6.3,R64,15.0
UNC Greensboro,SC,31,12,101.4,106.3,0.368,51.3,51.9,17.7,17.4,27.1,27.5,28.0,38.5,49.1,49.0,36.3,37.4,68.3,-12.7,,
UNC Wilmington,CAA,31,23,109.5,100.9,0.7186,51.2,47.5,15.9,19.9,32.1,30.1,35.6,55.2,51.0,46.1,34.4,33.9,71.3,-0.7,R64,13.0
UNLV,MWC,31,16,103.2,98.0,0.644,49.7,47.1,18.9,19.5,28.3,30.6,40.9,40.1,50.1,46.1,32.8,32.7,73.6,-6.3,,
USC,P12,34,21,113.7,98.7,0.8352,52.2,47.3,16.6,16.7,32.1,31.6,35.1,28.3,49.4,46.6,38.7,32.5,72.1,0.2,R64,8.0
USC Upstate,ASun,28,7,100.0,114.3,0.1782,50.1,54.6,20.2,15.1,33.1,31.9,30.9,36.6,48.4,53.1,35.7,38.1,67.2,-16.2,,
UT Arlington,SB,34,23,106.1,98.7,0.6962,49.2,47.0,18.7,20.1,36.3,26.2,34.4,43.3,49.5,44.4,32.5,33.7,73.2,-3.9,,
UT Rio Grande Valley,WAC,27,5,94.1,115.4,0.0872,47.2,52.1,17.7,14.4,23.0,35.7,29.6,31.1,45.7,51.9,33.1,35.0,68.5,-17.0,,
Utah,P12,35,26,115.8,97.3,0.8807,55.1,48.0,18.2,15.3,29.2,27.8,37.9,23.0,55.5,44.5,36.3,37.1,66.9,5.6,R32,3.0
Utah St.,MWC,29,14,110.3,106.1,0.6086,52.2,51.1,17.5,16.5,29.2,28.7,33.6,33.2,49.2,50.1,37.9,35.2,67.7,-7.4,,
Utah Valley,WAC,27,9,99.4,109.8,0.241,48.6,49.9,17.4,16.6,22.9,31.0,34.5,37.7,46.3,50.3,34.6,32.6,75.3,-12.2,,
UTEP,CUSA,32,18,102.9,106.2,0.4097,52.4,49.5,17.1,19.2,24.5,31.7,40.9,36.6,51.3,48.3,36.5,34.2,72.5,-9.7,,
UTSA,CUSA,30,4,96.9,116.0,0.1125,47.0,59.0,18.1,17.2,26.0,27.8,37.4,46.2,46.5,57.2,32.1,41.3,73.1,-20.4,,
Valparaiso,Horz,35,28,106.6,91.8,0.8476,50.7,44.5,19.0,18.5,35.2,24.8,35.1,38.7,48.3,41.5,36.5,33.9,67.5,0.4,,
Vanderbilt,SEC,33,19,114.5,93.2,0.9148,52.9,43.1,16.8,14.2,27.2,29.3,39.8,34.4,50.1,42.6,38.2,29.4,68.7,-0.3,R68,11.0
VCU,A10,36,25,112.1,94.2,0.8811,51.0,49.2,16.3,21.4,33.2,27.7,32.2,36.8,50.1,48.6,35.2,33.7,70.3,-0.1,R32,10.0
Vermont,AE,36,22,107.3,105.8,0.5414,54.1,49.3,19.2,16.7,28.5,28.2,38.2,37.4,52.6,46.3,38.2,37.0,68.5,-6.6,,
Villanova,BE,40,35,123.1,90.9,0.9703,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30.0,57.4,44.1,36.2,33.9,66.7,8.9,Champions,2.0
Virginia,ACC,37,29,119.9,91.0,0.96,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,52.6,46.3,40.3,34.7,61.9,8.6,E8,1.0
Virginia Tech,ACC,35,20,109.5,97.8,0.7855,50.0,49.0,18.0,17.9,30.3,31.8,49.4,33.5,49.1,50.1,34.8,31.3,70.5,-0.5,,
VMI,SC,27,6,96.0,110.8,0.1606,47.1,53.0,18.5,18.7,26.3,34.0,27.0,41.4,45.7,51.2,32.5,37.4,69.3,-16.1,,
Wagner,NEC,33,22,99.6,101.4,0.449,47.6,46.8,19.6,20.7,36.9,27.5,32.6,44.3,46.4,45.6,33.6,32.7,66.7,-7.0,,
Wake Forest,ACC,31,11,106.9,99.4,0.6977,49.4,49.5,20.1,15.2,32.7,31.2,43.2,38.6,50.4,49.2,31.6,33.4,72.4,-6.2,,
Washington,P12,34,19,110.1,98.1,0.7905,48.1,47.9,17.4,20.5,33.4,35.7,41.2,44.6,47.3,47.2,33.1,33.1,78.2,-2.2,,
Washington St.,P12,30,8,101.1,104.0,0.4185,50.7,49.9,19.7,14.7,23.9,29.6,31.1,37.5,50.3,48.2,34.6,35.9,69.7,-10.4,,
Weber St.,BSky,32,23,101.7,99.5,0.5599,54.5,47.4,19.6,15.6,25.9,25.6,45.7,28.1,55.3,45.2,35.5,35.6,67.7,-3.7,R64,15.0
West Virginia,B12,35,26,114.8,90.4,0.9396,49.8,48.4,20.0,25.0,42.0,27.1,46.2,55.3,50.3,47.7,32.5,33.1,70.9,7.4,R64,3.0
Western Carolina,SC,31,13,99.2,104.2,0.3609,48.8,51.0,20.0,20.8,30.4,32.7,38.2,45.0,48.3,49.6,33.0,35.6,70.0,-10.4,,
Western Illinois,Sum,24,7,99.5,106.2,0.3205,49.3,50.1,18.2,15.2,25.5,27.0,32.0,42.4,46.0,46.4,37.8,39.1,68.6,-11.4,,
Western Kentucky,CUSA,32,16,108.1,107.8,0.509,52.5,52.4,19.0,15.0,33.6,28.6,39.6,30.0,51.5,50.4,36.3,37.3,67.8,-9.5,,
Western Michigan,MAC,30,11,102.4,104.5,0.4417,47.6,52.0,17.9,17.1,30.6,25.5,43.8,38.5,46.3,51.0,33.7,35.6,69.0,-12.2,,
Wichita St.,MVC,34,25,110.3,87.8,0.9321,48.9,44.7,14.7,23.2,31.7,23.6,37.4,45.4,49.2,42.1,32.3,32.7,66.8,0.2,R32,11.0
William & Mary,CAA,29,18,112.4,103.6,0.7192,54.9,49.5,15.9,15.3,25.8,27.2,36.6,27.9,54.8,49.4,36.7,33.1,69.2,-3.8,,
Winthrop,BSth,29,20,105.8,107.4,0.4576,54.2,47.7,17.8,15.9,26.0,32.0,41.1,31.9,53.9,47.1,36.4,32.7,73.7,-4.9,,
Wisconsin,B10,35,22,108.8,93.5,0.8509,48.5,48.1,17.1,18.6,33.1,27.7,38.0,33.6,46.6,44.8,34.9,37.4,64.1,0.4,S16,7.0
Wofford,SC,30,13,104.9,107.5,0.4303,51.7,54.0,18.0,17.6,26.2,25.9,38.4,41.5,45.8,54.3,40.9,35.5,66.2,-10.4,,
Wright St.,Horz,33,20,100.4,97.3,0.5879,51.4,48.6,16.5,20.6,19.1,25.5,33.0,48.3,48.3,48.1,37.8,33.0,66.3,-6.1,,
Wyoming,MWC,30,12,108.3,108.0,0.5092,53.4,50.1,17.0,15.8,18.1,30.4,45.9,39.1,50.8,48.4,37.2,35.4,65.6,-10.6,,
Xavier,BE,34,28,117.0,94.3,0.9229,51.4,47.8,17.4,19.3,35.2,26.0,41.7,33.6,49.8,48.6,36.3,31.1,72.4,7.7,R32,2.0
Yale,Ivy,29,22,109.1,95.6,0.8209,52.2,46.7,19.9,17.8,39.3,24.3,41.7,33.3,51.4,45.5,36.0,32.7,66.8,-0.1,R32,12.0
Youngstown St.,Horz,30,9,101.6,113.3,0.2215,49.0,53.6,15.6,15.7,22.7,33.8,29.8,32.5,45.5,54.5,37.0,34.6,73.2,-14.0,,
Gonzaga,WCC,32,28,120.3,89.9,0.9662,58.7,43.1,15.7,16.3,29.1,23.4,30.6,22.7,60.4,41.8,37.0,30.5,72.6,6.7,S16,1.0
Kansas,B12,40,34,119.8,91.3,0.958,53.8,45.8,17.3,18.1,32.9,28.6,32.3,27.7,53.6,46.4,36.1,29.8,69.1,10.4,Champions,1.0
Baylor,B12,34,27,117.8,91.3,0.9491,52.8,47.8,17.9,22.9,36.3,28.8,29.0,27.7,53.6,49.2,34.3,30.2,67.6,8.9,R32,1.0
Arizona,P12,37,33,118.0,93.7,0.9341,55.6,44.4,18.3,17.4,34.7,28.6,34.9,24.0,57.0,41.8,35.3,32.8,72.3,8.8,S16,1.0
Duke,ACC,39,32,122.7,96.0,0.944,55.6,47.1,15.0,15.7,31.7,28.9,28.6,19.1,56.0,46.6,36.6,32.0,67.4,7.2,F4,2.0
Villanova,BE,38,30,117.2,93.0,0.9346,51.5,47.3,15.5,18.4,31.2,28.9,29.8,25.0,49.5,48.1,35.9,30.8,62.2,7.3,F4,2.0
Kentucky,SEC,34,26,119.4,95.4,0.9295,53.1,46.9,16.7,17.5,37.7,24.9,28.0,25.4,53.5,47.3,34.7,30.8,67.8,6.9,R64,2.0
Auburn,SEC,34,28,111.7,90.0,0.9228,49.9,44.1,16.7,20.0,33.7,28.9,31.6,34.2,51.3,42.8,31.8,31.0,70.0,7.4,R32,2.0
Texas Tech,B12,37,27,110.5,85.4,0.9509,52.6,45.8,19.8,23.2,33.2,25.8,35.1,31.9,54.9,44.5,32.1,31.5,66.3,6.6,S16,3.0
Tennessee,SEC,35,27,111.3,87.1,0.9439,50.7,46.4,17.7,22.9,32.4,27.2,29.0,31.5,48.5,46.0,35.9,31.3,67.4,8.0,R32,3.0
Purdue,B10,37,29,121.6,97.5,0.9267,56.5,49.1,17.5,14.0,35.2,23.8,38.2,21.6,55.8,48.6,38.4,33.2,66.0,7.0,S16,3.0
Wisconsin,B10,33,25,108.7,93.4,0.8511,47.7,49.0,13.0,17.0,25.9,24.4,32.4,27.2,48.7,49.0,30.7,32.5,66.4,6.5,R32,3.0
UCLA,P12,35,27,115.8,92.2,0.9321,50.6,47.6,13.2,19.4,31.3,25.3,29.5,28.3,49.5,47.3,35.4,32.1,65.4,5.1,S16,4.0
Illinois,B10,33,23,111.9,93.0,0.8943,52.5,46.0,18.1,15.5,33.1,26.6,32.0,28.2,51.4,45.2,35.9,31.9,67.1,4.2,R32,4.0
Arkansas,SEC,37,28,108.7,90.7,0.8894,48.6,47.5,16.9,20.5,29.6,25.3,37.2,31.9,50.1,46.8,30.4,32.4,70.6,4.5,E8,4.0
Providence,BE,33,27,111.4,95.5,0.8554,50.0,46.3,17.0,15.6,30.3,27.4,37.0,27.0,49.0,47.1,34.4,30.0,65.3,5.9,S16,4.0
Houston,Amer,38,32,116.5,88.5,0.9595,53.1,43.3,16.9,21.7,37.7,28.0,29.0,34.7,54.5,43.4,33.8,28.8,63.7,6.2,E8,5.0
Iowa,B10,36,26,121.1,97.2,0.9265,53.3,49.7,13.0,19.2,32.3,30.0,30.0,26.3,52.5,49.9,36.3,32.9,69.8,4.5,R64,5.0
Saint Mary's,WCC,33,26,109.8,90.5,0.9024,52.7,48.3,17.0,19.2,27.4,21.7,23.3,25.1,52.5,47.0,35.5,34.3,63.7,3.9,R32,5.0
Connecticut,BE,33,23,113.2,95.9,0.8709,49.6,46.0,17.3,18.0,37.9,27.6,30.5,31.7,48.0,42.6,35.2,35.3,65.0,3.1,R64,5.0
Texas,B12,34,22,112.5,91.5,0.9152,50.1,47.0,17.8,23.0,31.6,29.8,32.0,39.0,50.5,46.6,33.0,31.8,63.5,3.4,R32,6.0
LSU,SEC,34,22,106.3,89.6,0.8766,49.4,45.1,20.7,25.1,33.8,30.9,33.4,37.8,50.4,47.6,31.6,28.2,68.7,2.3,R64,6.0
Alabama,SEC,33,19,115.2,98.3,0.8612,51.3,49.8,19.8,17.9,35.3,30.5,32.9,34.8,55.9,49.3,30.9,33.8,71.8,2.0,R64,6.0
Colorado St.,MWC,30,25,111.9,98.1,0.819,54.8,50.1,15.2,18.5,21.9,25.0,29.6,25.6,55.7,51.0,35.6,32.7,65.6,4.3,R64,6.0
Ohio St.,B10,32,20,115.5,98.5,0.8612,54.3,47.6,17.1,15.5,29.3,28.7,33.4,29.1,54.0,45.8,36.5,33.8,65.1,1.3,R32,7.0
Michigan St.,B10,36,23,111.6,96.6,0.8405,52.0,48.1,18.8,15.3,30.7,27.1,29.9,28.3,49.6,48.5,37.8,31.6,67.6,2.9,R32,7.0
Murray St.,OVC,31,31,110.0,96.2,0.8241,52.6,48.1,17.1,20.4,35.3,25.7,32.4,26.0,53.2,50.5,34.5,29.7,66.0,3.5,R32,7.0
USC,P12,34,26,108.6,96.2,0.8021,51.2,44.7,17.9,14.4,33.5,26.7,30.9,26.8,50.1,42.0,35.7,33.2,66.2,4.1,R64,7.0
North Carolina,ACC,39,29,114.4,93.5,0.9113,51.5,48.6,16.4,13.6,31.9,21.6,30.3,21.4,50.1,47.5,35.8,33.7,70.1,4.3,2ND,8.0
San Diego St.,MWC,32,23,102.4,86.9,0.8675,48.7,44.1,19.3,21.9,29.5,27.3,31.1,31.0,46.7,43.5,35.4,30.0,65.3,2.6,R64,8.0
Boise St.,MWC,34,27,107.6,92.9,0.8434,50.7,48.3,18.4,20.2,30.6,22.4,35.2,25.9,50.6,48.0,34.0,32.6,64.5,3.5,R64,8.0
Seton Hall,BE,31,21,105.4,93.4,0.8,47.2,45.6,17.7,18.5,32.3,29.1,30.5,27.8,45.8,45.1,33.2,31.1,67.6,1.9,R64,8.0
Memphis,Amer,33,22,112.4,92.6,0.9028,52.3,46.6,22.5,20.4,37.4,30.9,37.8,33.2,51.9,45.5,35.5,32.0,70.0,1.4,R32,9.0
TCU,B12,34,21,108.6,92.1,0.8698,48.7,47.4,21.4,18.6,37.7,26.1,31.4,26.9,50.3,48.0,30.2,30.9,65.9,2.9,R32,9.0
Creighton,BE,35,23,104.8,92.1,0.8151,50.6,44.9,20.4,15.5,28.4,28.5,26.7,20.8,53.3,43.6,30.8,31.7,67.0,1.7,R32,9.0
Marquette,BE,32,19,107.7,96.5,0.7787,52.1,47.0,17.2,18.9,22.5,31.6,26.2,29.5,52.6,46.4,34.4,32.0,71.2,0.6,R64,9.0
San Francisco,WCC,33,24,110.2,93.0,0.8748,53.1,47.1,17.9,18.4,30.0,24.0,28.5,33.0,54.4,48.7,34.3,28.9,69.0,1.6,R64,10.0
Miami FL,ACC,37,26,113.6,97.9,0.8467,53.4,52.5,14.0,20.4,22.4,30.3,28.9,24.8,54.8,53.0,33.9,34.5,67.7,2.6,E8,10.0
Loyola Chicago,MVC,32,25,106.9,92.3,0.8439,55.6,46.9,18.5,20.1,25.1,24.0,31.5,28.9,54.9,47.3,37.6,30.9,64.6,1.8,R64,10.0
Davidson,A10,33,27,115.8,101.1,0.8258,55.6,49.5,14.8,16.7,23.6,22.4,32.5,28.0,54.2,48.9,38.5,33.6,64.6,2.1,R64,10.0
Virginia Tech,ACC,36,23,115.6,95.2,0.9028,55.1,49.0,17.0,18.7,27.8,26.2,24.5,25.6,52.6,49.3,39.2,32.3,63.3,1.7,R64,11.0
Michigan,B10,34,19,113.9,96.2,0.8741,52.1,49.7,17.3,14.7,31.0,24.0,29.4,25.6,52.7,50.4,33.9,32.4,66.4,0.2,S16,11.0
Notre Dame,ACC,34,24,112.8,96.7,0.8542,54.0,49.0,15.6,15.1,22.1,24.7,27.3,22.2,51.9,49.6,37.9,32.0,65.4,1.9,R32,11.0
Iowa St.,B12,35,22,101.7,88.4,0.8346,49.1,47.9,20.4,24.6,28.4,28.3,27.1,36.7,50.1,50.8,31.5,28.9,66.3,2.8,S16,11.0
Rutgers,B10,32,18,106.6,96.3,0.7629,49.9,48.6,17.3,17.8,29.6,27.0,26.2,28.6,49.4,47.1,33.9,33.9,65.0,-0.7,R68,11.0
Indiana,B10,35,21,107.7,91.6,0.8652,50.6,46.2,17.2,17.6,27.0,25.1,33.5,30.7,50.9,43.9,33.3,33.0,67.2,0.2,R64,12.0
UAB,CUSA,33,27,111.8,99.1,0.8001,52.8,48.4,16.4,21.1,33.3,27.5,29.3,31.3,50.8,47.8,38.0,32.9,68.9,-0.1,R64,12.0
Wyoming,MWC,33,25,107.9,97.3,0.7661,52.3,47.1,17.1,15.7,25.5,24.6,37.1,24.8,54.4,48.4,33.0,30.1,65.8,1.9,R68,12.0
New Mexico St.,WAC,31,27,106.0,96.0,0.7579,51.9,45.2,20.8,16.8,32.6,25.7,34.6,28.3,53.2,45.6,33.4,29.8,66.1,0.7,R32,12.0
Richmond,A10,37,24,106.9,99.1,0.7071,51.1,50.5,14.3,18.8,22.4,27.5,31.0,23.4,52.3,49.9,33.0,34.3,66.7,-1.6,R32,12.0
Vermont,AE,33,28,109.7,97.3,0.7984,57.1,47.7,14.7,16.8,23.7,18.7,26.7,23.3,58.6,45.3,36.8,34.4,64.8,-0.8,R64,13.0
Chattanooga,SC,33,27,107.3,97.3,0.7557,52.2,49.4,17.0,18.1,32.7,26.2,26.8,27.8,53.0,52.1,33.9,30.3,64.6,0.2,R64,13.0
South Dakota St.,Sum,33,30,114.1,103.5,0.7542,59.2,51.4,15.3,15.8,23.7,24.3,34.6,21.3,55.9,50.3,43.7,35.2,69.6,1.5,R64,13.0
Akron,MAC,32,24,105.5,101.7,0.6041,52.5,49.1,17.7,17.5,29.0,26.4,39.3,26.1,52.2,47.4,35.3,34.8,61.9,-4.3,R64,13.0
Colgate,Pat,34,23,107.0,103.2,0.6026,55.6,48.9,16.9,16.0,26.6,25.1,26.3,24.1,52.1,48.0,40.4,33.7,67.0,-6.1,R64,14.0
Longwood,BSth,29,26,105.7,103.7,0.5541,51.5,51.4,18.4,20.0,33.2,24.5,35.4,26.5,47.9,53.9,38.4,32.1,65.8,-2.3,R64,14.0
Yale,Ivy,30,19,99.4,97.9,0.5449,49.7,48.9,18.3,18.2,25.6,26.7,32.2,32.1,50.1,51.2,32.6,30.5,68.9,-4.9,R64,14.0
Montana St.,BSky,33,27,103.6,102.5,0.5308,53.9,49.4,18.7,18.2,26.7,23.5,40.1,36.1,52.9,48.9,37.0,33.6,67.1,-2.8,R64,14.0
Saint Peter's,MAAC,33,22,99.4,93.1,0.6786,47.5,44.2,20.1,20.5,30.9,29.0,37.4,41.2,45.6,44.5,34.6,29.2,65.6,-5.6,E8,15.0
Delaware,CAA,34,22,106.5,103.2,0.5908,53.4,49.6,18.3,18.5,26.7,31.3,34.5,29.1,54.4,47.7,34.5,35.4,66.6,-5.5,R64,15.0
Jacksonville St.,ASun,30,21,104.5,102.2,0.5638,53.6,48.1,19.7,17.1,28.2,27.0,32.1,21.6,51.0,47.5,38.0,32.7,65.1,-5.2,R64,15.0
Cal St. Fullerton,BW,30,21,102.0,103.1,0.4675,48.9,51.1,17.9,20.2,29.1,28.2,34.8,25.7,48.4,48.4,33.4,37.3,66.0,-5.0,R64,15.0
Georgia St.,SB,26,18,101.9,98.4,0.5983,44.7,50.0,16.6,22.1,32.5,31.0,30.4,33.2,42.5,46.2,32.4,37.5,67.3,-5.1,R64,16.0
Bryant,NEC,31,22,102.9,104.1,0.4651,49.6,47.6,19.0,16.6,32.8,31.7,32.7,25.2,52.8,47.0,30.3,32.5,72.3,-4.8,R68,16.0
Wright St.,Horz,35,22,104.8,106.2,0.4613,51.7,51.4,17.7,18.5,31.0,30.1,31.6,26.1,52.5,51.9,33.4,33.8,68.8,-8.4,R64,16.0
Texas Southern,SWAC,32,19,96.3,98.5,0.4356,48.2,45.3,21.4,17.3,33.0,28.0,33.6,33.4,48.6,45.1,31.4,30.4,68.1,-6.8,R64,16.0
Norfolk St.,MEAC,28,24,100.7,103.0,0.4342,50.9,45.8,20.1,18.4,30.1,27.8,38.3,33.5,50.8,47.1,34.0,29.5,67.0,-3.1,R64,16.0
Texas A&M Corpus Chris,Slnd,31,23,96.4,102.8,0.3223,47.2,49.0,19.7,22.6,34.0,28.8,38.0,42.3,46.9,50.3,31.8,31.5,69.2,-7.6,R68,16.0
Oklahoma,B12,35,19,110.6,94.1,0.865,54.8,49.4,22.0,20.3,25.7,26.2,27.4,26.4,56.7,50.3,34.7,31.8,65.2,1.1,,
Texas A&M,SEC,39,27,109.2,93.3,0.8597,49.6,47.4,18.9,23.7,33.5,33.2,35.7,33.3,50.1,47.9,32.4,31.1,66.5,1.2,,
Oklahoma St.,B12,30,15,102.9,88.0,0.8575,48.0,45.7,21.4,22.8,32.3,31.4,33.0,31.2,49.8,43.7,29.5,32.4,68.0,-0.8,,
Wake Forest,ACC,35,25,110.7,95.0,0.8543,55.6,47.3,19.2,17.6,26.7,26.2,33.6,29.4,58.5,46.6,34.5,32.3,70.4,1.5,,
Washington St.,P12,37,22,107.6,93.1,0.8405,47.9,46.9,16.6,20.4,33.4,29.5,29.8,30.3,46.2,47.4,33.5,30.6,66.2,-4.0,,
Dayton,A10,35,24,108.8,94.5,0.8341,53.9,46.9,19.1,17.1,30.3,23.6,30.5,23.7,53.8,45.8,36.1,32.4,63.1,-1.2,,
Syracuse,ACC,33,16,116.1,101.4,0.8271,52.5,50.6,15.4,16.7,29.2,32.1,28.3,23.5,49.9,51.6,37.6,33.0,67.7,-3.8,,
Xavier,BE,36,23,110.9,97.2,0.8205,50.9,48.3,16.7,18.1,29.3,26.1,35.3,25.9,52.2,48.3,32.2,32.2,68.6,-1.1,,
St. John's,BE,32,17,110.2,96.7,0.8178,50.8,48.9,15.9,21.3,30.7,31.5,26.1,33.2,51.0,47.5,33.5,34.1,73.6,-3.3,,
VCU,A10,32,22,100.9,88.9,0.8097,51.4,44.4,21.9,24.7,26.6,32.0,30.9,38.3,51.1,45.9,34.7,27.8,68.5,0.5,,
North Texas,CUSA,30,25,104.6,92.3,0.8082,51.4,46.3,18.7,19.5,31.7,25.1,37.7,32.8,49.7,47.6,35.8,28.8,59.2,0.7,,
Utah St.,MWC,33,18,109.2,96.4,0.8061,54.2,49.7,18.3,18.3,26.0,22.9,28.9,29.0,56.2,48.8,34.1,34.0,66.7,-4.7,,
Florida,SEC,34,20,109.8,97.0,0.8056,49.6,49.4,18.5,21.8,31.5,32.5,33.8,30.3,53.1,49.9,30.3,32.2,65.5,-0.9,,
SMU,Amer,33,24,107.9,95.4,0.8039,51.5,44.5,17.7,17.0,27.7,30.3,35.6,25.4,50.4,44.5,35.3,29.8,68.3,1.8,,
West Virginia,B12,33,16,108.6,96.1,0.8025,46.8,50.6,18.2,22.5,30.0,33.6,36.1,34.1,45.7,51.7,32.8,32.4,67.9,-1.1,,
Virginia,ACC,35,21,107.4,95.1,0.8012,49.7,48.8,16.1,18.3,27.8,28.8,28.1,23.3,50.3,47.9,32.3,33.6,59.3,-0.5,,
Vanderbilt,SEC,36,19,106.7,94.7,0.7985,50.2,48.5,18.9,20.7,27.5,27.7,38.7,34.9,49.5,50.7,34.0,30.1,67.4,-3.1,,
BYU,WCC,33,24,108.4,97.8,0.7647,51.8,47.7,18.4,15.0,30.6,22.5,27.2,31.1,51.9,48.9,34.6,30.5,67.8,0.3,,
Santa Clara,WCC,33,21,110.6,100.4,0.7538,54.5,48.5,16.2,16.5,23.4,26.2,27.6,21.2,53.5,46.7,37.8,34.8,70.9,-1.7,,
Northern Iowa,MVC,31,20,110.2,102.1,0.7057,53.0,53.9,16.2,18.0,20.8,21.8,33.2,22.7,53.3,54.4,35.1,35.6,67.3,-2.9,,
DePaul,BE,31,15,106.4,99.8,0.6759,48.8,48.8,17.4,16.8,31.7,28.5,33.4,26.0,49.4,47.8,31.7,33.7,68.8,-4.7,,
Stephen F. Austin,WAC,28,22,101.9,98.3,0.6021,51.3,49.2,22.3,24.4,34.5,32.2,36.5,37.4,52.8,50.1,31.9,31.9,69.0,-3.1,,
Sam Houston St.,WAC,30,19,100.0,96.9,0.5896,48.3,48.6,18.5,20.8,30.6,26.3,25.0,34.7,46.8,49.1,33.6,31.9,64.9,-7.1,,
UC Riverside,BW,26,16,101.2,100.1,0.5301,50.7,47.1,18.4,16.1,22.4,22.4,26.9,28.2,52.2,47.8,32.3,30.2,65.4,-6.8,,
UNC Greensboro,SC,31,17,100.0,101.2,0.4672,49.8,50.4,20.1,18.6,32.4,25.2,27.5,28.6,48.6,48.6,34.4,34.9,62.3,-7.4,,
Bellarmine,ASun,29,20,108.0,109.3,0.4645,53.3,54.4,15.0,17.7,22.4,30.5,22.1,30.2,54.8,56.1,34.2,35.0,62.3,-5.6,,
Long Beach St.,BW,31,20,101.5,103.0,0.4583,48.8,52.1,17.9,19.9,27.1,27.2,38.1,27.7,47.1,51.3,34.9,35.5,71.1,-4.9,,
Old Dominion,CUSA,31,13,99.6,101.9,0.4355,46.9,49.7,18.4,17.1,32.3,27.3,34.3,29.4,48.1,48.4,29.0,34.2,64.3,-12.3,,
Campbell,BSth,26,16,100.1,102.5,0.4335,51.3,50.6,16.4,18.3,22.2,26.1,26.3,27.6,52.4,49.1,33.0,35.3,62.3,-8.8,,
Alcorn St.,SWAC,34,17,97.5,104.0,0.3222,45.9,50.9,20.3,19.1,31.9,27.9,32.5,36.8,45.1,50.6,31.8,34.3,67.4,-8.2,,
Mississippi St.,SEC,34,18,107.6,95.6,0.7973,49.6,49.6,19.5,19.4,34.1,25.7,38.1,28.3,51.7,50.9,29.5,31.9,65.5,-2.4,,
Kansas St.,B12,31,14,109.6,97.3,0.7969,49.4,49.5,16.9,19.8,25.2,28.3,29.6,32.0,47.5,52.4,34.6,30.2,66.4,-2.1,,
Fresno St.,MWC,35,23,105.1,93.5,0.7928,51.1,47.7,17.7,19.4,27.3,22.9,31.2,27.2,51.3,47.2,33.7,32.3,61.5,-4.0,,
Saint Louis,A10,34,23,108.5,96.7,0.7889,50.6,48.2,18.7,18.0,33.8,26.5,32.7,32.4,49.1,48.0,36.2,32.3,68.0,-1.5,,
Tulane,Amer,29,14,110.8,99.4,0.7769,51.2,49.6,15.0,20.3,20.1,32.8,33.4,28.5,49.0,48.3,36.5,34.1,67.9,-5.1,,
Clemson,ACC,33,17,109.4,98.3,0.7753,52.4,49.7,16.4,16.9,25.8,24.1,29.8,29.1,51.2,49.4,36.3,33.4,66.4,-3.7,,
Oregon,P12,34,20,109.6,98.7,0.7705,51.1,49.6,17.1,19.2,29.9,31.1,29.7,29.1,51.6,50.2,33.5,32.4,67.7,-2.4,,
Furman,SC,33,22,113.6,102.4,0.7686,55.6,51.5,15.7,19.1,27.4,28.1,23.3,24.6,55.0,52.5,37.5,33.3,65.0,-4.5,,
Missouri St.,MVC,33,23,112.1,101.8,0.7522,54.6,48.8,15.5,15.7,25.8,24.0,27.7,28.0,54.6,47.8,36.4,33.6,67.1,-2.5,,
Towson,CAA,34,25,108.3,98.5,0.7488,51.6,47.9,17.9,19.5,35.7,26.5,33.9,31.9,50.4,48.4,35.7,31.5,64.7,-1.7,,
Drake,MVC,34,25,108.4,98.9,0.7424,51.4,49.3,15.9,19.4,30.2,25.9,27.3,33.5,52.3,49.1,33.1,33.1,66.0,-2.0,,
