TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
Northwestern   (H) 245 Pepperdine,B10,5,110.964,96.739,.828148,52.4133,48.9148,16.9140,21.167,36.355,25.772,35.3154,31.5136,53.5130,50.0162,33.3154,31.4142,65.7350,-0.1788
TCU,B12,5,109.289,95.321,.828049,53.798,45.057,15.484,23.232,34.776,26.795,34.2180,32.0147,54.3113,46.894,35.0121,28.364,70.4109,-0.0981
New Mexico,MWC,5,109.583,95.728,.824550,51.7148,49.0149,18.6212,25.013,31.2159,34.3287,43.751,36.2213,52.4153,49.7157,33.6151,31.9158,76.21,+0.624
Penn St.,B10,5,112.150,98.159,.822451,60.311,46.383,14.768,25.38,36.061,29.5170,43.948,30.8123,60.627,42.943,39.833,34.2218,72.916,+0.4534
Nebraska   (A) 16 Creighton,B10,4,109.976,96.434,.818852,47.8233,47.5105,18.8220,23.723,36.752,29.2159,52.216,21.522,53.6128,42.639,25.6327,35.4256,70.3117,-0.32107
Dayton,A10,5,109.879,96.946,.806853,54.781,44.855,13.330,19.6110,29.6191,21.314,43.155,28.182,61.916,43.451,30.3245,31.6151,66.9328,+0.4931
N.C. State   (H) 193 William & Mary,ACC,4,111.161,98.161,.806354,55.170,43.845,15.893,23.232,32.3125,32.0246,43.057,29.295,61.222,49.3141,27.1306,22.25,70.2127,+0.1458
Utah St.   vs. 44 Iowa,MWC,4,112.646,99.578,.805055,60.212,50.0177,13.124,25.76,47.12,32.4257,41.373,31.4135,61.819,49.0135,38.451,34.3221,71.083,+0.2247
Missouri   (H) 301 Pacific,SEC,4,115.122,101.7115,.805056,59.019,48.1120,15.893,25.111,34.973,30.8212,55.210,31.0127,61.916,43.754,36.880,37.8305,68.7229,-0.2194
Xavier,BE,5,112.647,99.579,.804757,57.240,47.7111,13.944,20.287,27.9225,23.631,35.5150,28.789,51.5166,41.732,43.410,38.5314,69.8156,+0.4236
SMU   (H) 24 Mississippi St.,ACC,5,113.837,100.799,.803158,54.781,43.743,16.0101,21.659,40.712,29.5170,38.7112,39.7262,52.8145,40.724,38.942,32.2162,72.040,-0.37114
Louisville   (H) 188 Winthrop,ACC,3,113.639,100.696,.801759,51.0164,48.7140,13.536,26.54,31.6150,27.2109,33.3193,34.8193,58.842,47.3103,30.0250,33.8208,72.823,-0.30104
Wake Forest,ACC,6,110.372,97.857,.799960,51.5155,46.889,18.9225,23.135,29.2203,30.1191,38.6113,23.637,57.861,44.461,29.2267,32.9180,70.0142,+0.3041
South Carolina,SEC,5,111.558,98.972,.799461,52.6125,47.093,16.9140,16.0244,33.597,30.3199,45.536,36.2213,55.394,44.968,32.5179,33.6202,68.6240,-1.0196
LSU   vs. 29 Pittsburgh,SEC,4,109.681,97.250,.798562,55.756,39.67,19.2238,16.0244,34.186,29.6177,41.472,32.1150,61.916,43.958,31.2222,19.71,70.1133,+0.816
Oklahoma,SEC,4,110.866,98.363,.798463,56.051,46.889,14.971,24.914,34.477,23.734,28.3278,23.435,58.646,54.5240,35.1116,24.719,69.3190,+0.0769
Notre Dame   (H) 231 Elon,ACC,4,110.867,98.364,.797364,58.922,42.527,15.587,14.8292,30.3173,26.383,30.1249,20.414,62.614,38.28,34.6133,31.5146,67.8293,+0.4832
Utah   (H) 321 Utah Tech,B12,4,109.682,97.352,.796665,60.79,40.513,16.8135,16.4229,35.466,27.9125,31.6232,33.6174,58.252,40.116,41.815,27.445,71.464,-0.33109
San Francisco,WCC,5,108.893,96.842,.793666,53.798,41.621,19.2238,23.135,33.792,27.0105,37.2128,31.2131,58.252,40.116,31.7208,29.285,69.7164,-0.0376
USC,B10,5,114.332,101.7113,.793167,55.953,52.4225,13.433,20.776,25.7278,29.0154,30.7242,34.2188,59.536,48.4122,33.0168,38.6319,70.0144,-0.5143
