TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,predicted_seed_score,rank,predicted_seed,predicted_postseason_label,predicted_postseason_description
Miami OH,MAC,4,102.1215,106.9231,0.3705226,54.294,59.8354,17.616,21.955,28.9209,29.0154,15.9361,32.716,51.1177,62.4349,38.746,37.9308,69.3185,-0.9187,6.1115321705076004,23.0,6.0,5,Round of 32
Kentucky   (H) 330 Jackson St.,SEC,4,116.911,95.018,0.91611,59.118,43.036,13.742,13.0338,32.911,23.226,29.7258,16.83,56.672,48.8129,41.815,23.09,72.53,1.18,5.920170131539474,21.0,6.0,6,Round of 64
UT Rio Grande Valley,Slnd,6,107.4112,108.3266,0.477017,54.588,55.529,17.9174,19.2128,30.2176,27.8122,17.4356,43.3302,58.744,59.8332,33.3154,33.1187,72.918,-0.9178,6.377448128611406,28.0,7.0,5,Round of 32
Canisius,MAAC,6,96.133,113.436,0.1288354,46.326,58.1343,21.6316,13.0338,19.1357,37.0322,21.5345,30.6119,43.231,63.7357,33.1167,32.918,68.5243,-4.2362,6.357011552145361,26.0,7.0,6,Round of 64
Saint Francis,NEC,6,94.7349,111.6341,0.1311351,46.0268,54.427,23.134,20.098,21.9333,34.1284,21.8342,34.7191,47.6251,62.8353,29.2267,29.386,69.5181,-1.9279,6.233756139427202,25.0,7.0,6,Round of 64
Georgia Southern,SB,6,104.2166,106.9232,0.4264198,54.975,50.2185,21.0305,20.287,29.3202,31.0219,34.8165,62.9361,59.635,59.9336,32.6177,26.634,74.34,-1.3219,6.36668060147683,27.0,7.0,6,Round of 64
Evansville   (H) 252 Green Bay,MVC,5,100.4254,108.5271,0.289527,44.1307,58.7346,17.9174,16.8211,20.3352,38.7335,30.025,40.9281,47.126,61.6345,27.6299,35.4256,69.6171,-2.4321,6.5517942494167904,31.0,8.0,6,Round of 64
Prairie View A&M,SWAC,5,94.7348,113.3359,0.1131359,41.634,54.1263,14.559,17.1201,26.6257,44.8362,36.0141,45.5316,41.1333,56.1278,28.3288,33.7206,73.41,-2.8335,6.504464605577627,30.0,8.0,6,Round of 64
Louisiana Tech,CUSA,4,108.2103,100.495,0.704596,58.029,44.855,15.38,16.1239,37.543,39.5342,31.922,28.487,58.252,47.2102,38.55,26.735,68.2265,0.493,6.615540697106393,32.0,8.0,5,Round of 32
Austin Peay,ASun,5,101.3231,108.6272,0.3106251,46.5257,53.024,15.175,18.9137,25.5282,34.6292,30.4246,37.3235,46.6268,63.3355,30.9229,23.511,67.2313,-0.4413,6.394845731518365,29.0,8.0,6,Round of 64
Gonzaga,WCC,5,122.21,94.714,0.94953,57.042,42.628,11.22,20.776,37.639,23.734,35.6147,27.981,58.547,48.0117,36.39,22.56,70.4106,1.52,6.997941375500732,35.0,9.0,1,Runner-Up
