TEAM,CONF,G,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
UT Rio Grande Valley,Slnd,7,109.396,109.4276,.4972159,54.861,55.6320,17.1142,20.571,31.5135,29.2158,18.7361,40.1290,59.824,59.9346,33.2171,32.9173,71.823,-0.9113
Illinois St.,MVC,7,105.5167,105.9177,.4903160,54.569,51.9228,15.471,15.7266,20.7354,24.331,36.4119,33.1170,57.147,51.8197,34.4128,34.6237,66.7269,-1.9186
Charlotte,Amer,6,106.1154,106.6200,.4866161,47.7251,53.1264,13.722,14.5312,26.9265,31.8248,50.69,34.3192,48.7228,56.1308,30.6259,31.7134,65.0329,-2.1212
UT Arlington,WAC,8,106.8139,107.5234,.4823162,52.5114,53.8283,19.1246,14.1328,29.7185,27.9109,35.5134,42.5319,47.9249,53.9253,39.817,35.8278,70.561,-3.4311
Massachusetts   (H) 352 NJIT (won),A10,8,104.1190,104.7155,.4818163,46.1295,49.1136,16.093,17.3200,36.043,31.8248,35.4137,36.1225,50.9184,47.387,24.7355,34.6237,69.987,-3.2301
Stephen F. Austin,Slnd,8,99.4283,100.182,.4802164,48.1236,44.732,27.4363,21.159,38.320,30.9220,35.2142,36.4229,47.5259,45.763,32.7188,28.955,66.6274,-2.0196
Duquesne,A10,7,101.3246,102.0104,.4799165,47.4260,53.2267,18.7231,20.867,28.3216,29.0155,35.0148,42.2315,49.6206,49.3140,29.4285,39.5344,67.6221,-4.8348
Chattanooga,SC,8,106.8138,107.7241,.4770166,50.0187,50.5182,16.7125,15.3277,27.5245,31.0227,36.8110,34.6196,59.131,52.1208,27.2330,31.8136,68.7151,-1.4138
Montana St.,BSky,8,105.2174,106.1180,.4766167,53.882,48.5121,17.2152,17.7172,24.3318,28.5131,29.3271,36.0221,51.4173,50.0156,37.647,30.189,67.2244,-3.0281
Milwaukee,Horz,9,107.5126,108.3253,.4764168,50.7170,51.9228,20.2293,16.7227,38.617,27.389,36.0126,34.7200,53.1133,51.8197,30.5261,34.8245,68.7147,-2.3221
Rice   vs. 274 Iona,Amer,8,102.2226,103.1122,.4764169,47.7251,42.215,20.1289,15.0290,32.9114,27.8105,57.71,38.2263,45.6299,46.067,33.9148,24.25,66.3288,-0.9118
Richmond,A10,8,102.0232,103.1124,.4691170,46.5285,47.9105,14.237,14.2324,18.4360,19.95,39.669,43.1323,51.1180,49.4142,27.3329,30.8105,66.4284,-3.1289
Belmont,MVC,8,105.6163,106.8208,.4683171,55.647,52.4241,16.196,17.3200,27.6239,26.155,24.4330,21.69,57.641,52.0202,35.695,35.3255,70.944,-1.1126
Florida Gulf Coast,ASun,8,104.1191,105.2168,.4680172,50.9165,48.5121,17.7176,16.1250,25.6289,29.4163,16.9362,32.0151,51.6168,47.184,33.3164,33.7201,64.0354,-3.1290
Wyoming,MWC,7,103.6197,104.8158,.4671173,47.5257,47.383,21.2323,13.7336,37.129,25.749,43.244,34.6196,49.1221,49.8149,29.2291,28.750,67.5227,-0.8112
